kernel_sizes,num_filters,num_fc_layers,fc_size,accuracy,iteration,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
"[3, 3]",32,2,128,56.187777777777775,0,64.9645390070922,59.716312056737586,48.5,43.04964539007092,46.09375,37.589158345221115,70.70921985815603,61.285714285714285,62.4822695035461,60.42553191489362
"[3, 3]",32,2,128,56.07111111111111,1,66.59574468085107,66.09929078014184,52.142857142857146,35.319148936170215,53.19602272727273,37.73181169757489,64.8936170212766,64.21428571428571,64.11347517730496,56.02836879432624
"[3, 3]",32,2,128,55.766666666666666,2,65.1063829787234,65.39007092198581,50.214285714285715,42.6241134751773,40.69602272727273,47.28958630527817,66.73758865248227,57.57142857142857,58.01418439716312,61.13475177304964
"[3, 3]",32,2,128,55.94777777777778,3,63.54609929078014,55.88652482269504,51.142857142857146,38.226950354609926,50.49715909090909,40.94151212553495,65.67375886524823,63.642857142857146,61.98581560283688,66.59574468085107
"[3, 3]",32,2,128,56.98555555555556,4,66.31205673758865,60.709219858156025,41.5,45.673758865248224,55.53977272727273,36.019971469329526,70.0709219858156,61.142857142857146,68.58156028368795,68.72340425531915
"[3, 3]",32,2,64,56.50222222222222,0,67.94326241134752,68.22695035460993,55.285714285714285,40.99290780141844,45.52556818181818,39.015691868758914,69.7872340425532,62.285714285714285,65.0354609929078,55.744680851063826
"[3, 3]",32,2,64,56.46888888888889,1,66.87943262411348,67.09219858156028,48.57142857142857,39.787234042553195,44.46022727272727,44.86447931526391,73.90070921985816,59.214285714285715,66.95035460992908,54.680851063829785
"[3, 3]",32,2,64,55.71666666666667,2,65.74468085106383,63.97163120567376,33.57142857142857,42.5531914893617,39.48863636363637,44.436519258202566,73.90070921985816,60.357142857142854,61.63120567375886,69.7872340425532
"[3, 3]",32,2,64,56.983333333333334,3,66.80851063829788,66.95035460992908,48.5,42.269503546099294,47.23011363636363,44.222539229671895,70.99290780141844,60.857142857142854,66.09929078014184,57.4468085106383
"[3, 3]",32,2,64,56.10333333333333,4,69.57446808510639,68.72340425531915,44.42857142857143,34.751773049645394,46.80397727272727,46.79029957203994,70.70921985815603,59.357142857142854,65.1063829787234,54.53900709219858
[3],32,3,128,50.00222222222222,0,60.141843971631204,59.716312056737586,40.07142857142857,34.04255319148936,34.65909090909091,39.015691868758914,59.43262411347518,56.785714285714285,53.829787234042556,61.56028368794326
[3],32,3,128,50.4,1,62.97872340425532,59.50354609929078,42.285714285714285,41.205673758865245,39.48863636363637,32.09700427960057,62.12765957446808,57.42857142857143,59.858156028368796,50.212765957446805
[3],32,3,128,50.90888888888889,2,61.48936170212766,55.815602836879435,39.642857142857146,37.234042553191486,38.77840909090909,32.95292439372325,66.09929078014184,58.642857142857146,58.156028368794324,61.276595744680854
[3],32,3,128,50.952222222222225,3,61.48936170212766,60.0709219858156,40.5,38.93617021276596,39.48863636363637,36.16262482168331,63.90070921985816,60.642857142857146,59.07801418439716,55.744680851063826
[3],32,3,128,50.754444444444445,4,60.851063829787236,59.148936170212764,40.57142857142857,38.36879432624114,37.42897727272727,31.66904422253923,69.71631205673759,56.357142857142854,59.219858156028366,55.815602836879435
[3],32,3,64,50.29222222222222,0,55.177304964539005,60.283687943262414,45.785714285714285,36.45390070921986,37.99715909090909,31.52639087018545,65.46099290780141,58.214285714285715,58.156028368794324,54.53900709219858
[3],32,3,64,50.824444444444445,1,60.49645390070922,54.04255319148936,47.357142857142854,37.94326241134752,43.60795454545455,32.09700427960057,64.32624113475177,56.5,55.815602836879435,57.659574468085104
[3],32,3,64,51.27777777777778,2,62.4822695035461,59.361702127659576,36.92857142857143,36.808510638297875,47.01704545454545,32.09700427960057,67.09219858156028,60.642857142857146,54.680851063829785,55.39007092198582
[3],32,3,64,49.922222222222224,3,61.843971631205676,46.87943262411348,38.214285714285715,37.3758865248227,41.26420454545455,35.02139800285307,55.95744680851064,60.785714285714285,55.0354609929078,63.61702127659574
[3],32,3,64,50.82555555555555,4,59.716312056737586,58.43971631205674,46.214285714285715,36.02836879432624,40.98011363636363,33.024251069900146,68.29787234042553,57.57142857142857,53.61702127659574,52.765957446808514
[3],32,2,128,50.53,0,65.0354609929078,62.695035460992905,45.07142857142857,36.170212765957444,36.43465909090909,33.309557774607704,58.86524822695036,60.714285714285715,54.822695035460995,51.56028368794326
[3],32,2,128,50.34222222222222,1,62.340425531914896,53.191489361702125,45.357142857142854,35.1063829787234,35.15625,38.15977175463623,61.63120567375886,57.642857142857146,56.09929078014184,57.4468085106383
[3],32,2,128,50.236666666666665,2,58.36879432624114,58.297872340425535,42.285714285714285,35.95744680851064,43.67897727272727,34.37945791726106,62.4113475177305,50.142857142857146,55.319148936170215,57.09219858156028
[3],32,2,128,50.87222222222222,3,60.0709219858156,59.00709219858156,41.42857142857143,40.42553191489362,42.75568181818182,29.671897289586305,65.74468085106383,58.785714285714285,51.41843971631206,58.58156028368794
[3],32,2,128,50.343333333333334,4,64.11347517730496,60.0709219858156,44.857142857142854,40.283687943262414,46.37784090909091,33.951497860199716,62.5531914893617,51.785714285714285,57.730496453900706,46.02836879432624
[3],32,2,64,49.934444444444445,0,60.42553191489362,58.794326241134755,36.714285714285715,38.156028368794324,45.52556818181818,31.81169757489301,67.16312056737588,49.214285714285715,52.5531914893617,57.94326241134752
[3],32,2,64,49.38666666666666,1,57.5886524822695,56.45390070921986,46.92857142857143,34.53900709219858,38.84943181818182,33.523537803138375,58.58156028368794,53.642857142857146,57.659574468085104,54.04255319148936
[3],32,2,64,49.98555555555556,2,60.49645390070922,52.97872340425532,41.285714285714285,38.43971631205674,40.19886363636363,26.96148359486448,62.198581560283685,65.07142857142857,60.0,53.40425531914894
[3],32,2,64,50.42888888888889,3,60.638297872340424,54.751773049645394,38.57142857142857,39.290780141843975,38.56534090909091,34.878744650499286,62.97872340425532,60.357142857142854,57.94326241134752,57.3758865248227
[3],32,2,64,49.93666666666667,4,54.39716312056738,63.47517730496454,42.642857142857146,29.574468085106382,39.41761363636363,34.878744650499286,71.84397163120568,51.857142857142854,59.50354609929078,50.0
